Name,Price,Rate,Rating_pop
"삼성전자 갤럭시북 이온 아우라실버 NT950XCR-A58A (i5-10210U 39.6cm), 미포함, NVMe 256GB, 16GB","1,449,000",4.5,253
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD5AS (i5-10210U 39.6cm), 포함, 256GB, 16GB","1,061,000",5.0,295
"삼성전자 퓨어 화이트 노트북 NT350XCR-AD5WA-X (i5-10210U 39.6cm), 윈도우 포함, 256GB, 16GB","1,066,000",5.0,304
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD5AS (i5-10210U 39.6cm ), 윈도우 미포함, 256GB, 16GB","890,000",5.0,295
"LG전자 그램16 옵시디안 블랙 노트북 16Z90P-GA7LK (i7-1165G7 40.6cm WIN10 Home), 포함, NVMe 512GB, 16GB","2,329,000",5.0,160
"삼성전자 플러스2 퓨어화이트 노트북 NT550XDA-K78AW (i7-1165G7 39.6cm WIN10 Home), 포함, 256GB, 8GB","1,348,000",5.0,801
"삼성전자 플러스2 퓨어화이트 노트북 NT550XDZ-AD5AW (i5-1135G7), WIN미포함, RAM 8GB + RAM 8GB + SSD 256GB","1,009,000",5.0,147
"LG전자 10세대 코어i7 윈10탑재 17형 LG 그램 2020년형 17Z90N 그레이 정품키스킨 증정, 16GB, SSD 512GB, 포함","1,679,000",4.5,162
"삼성전자 2020 갤럭시북 플렉스 NT950QCG-X716A (i7-1065G7 39.6cm MX250), 1TB, 16GB, WIN10 Home","2,448,000",5.0,244
"Apple 2019년 맥북 프로 터치바 16, 9세대 i7, 16GB, SSD 512GB, 실버, 라데온 Pro 5300M","3,026,800",5.0,1679
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 512GB, 실버","1,537,800",5.0,796
"Apple 2019년 맥북 프로 터치바 13, i5-2.4GHz quad-core, 16GB, SSD 256GB, 스페이스 그레이, Thunderbolt 포트 4개","2,510,000",5.0,1192
"삼성전자 Plus 2 미스틱그레이 노트북 NT550XDZ-AD1AG (셀러론 6305 39.6cm), 미포함, 256GB, 8GB","568,000",5.0,120
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 8GB, SSD 1TB, 실버","2,230,000",5.0,566
"Apple 2020년 맥북 프로 터치바 13, 10세대 i7, 16GB, SSD 512GB, 실버","2,760,000",5.0,946
"삼성전자 갤럭시북 이온 아우라실버 NT950XCR-A58A (i5-10210U 39.6cm), 포함, NVMe 256GB, 8GB","1,599,000",4.5,253
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 16GB, SSD 1TB, 실버","2,450,000",5.0,566
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 512GB, 골드","1,537,800",5.0,796
"삼성전자 갤럭시북 이온 아우라실버 NT950XCR-A58A (i5-10210U 39.6cm), 포함, NVMe 256GB, 16GB","1,648,000",4.5,253
